Datetime,CH2,CH3,T1,T2,T3,T4,T5,T6,T7,T8,T9
03-Aug-2023 14:20:41,0.000307,0.00018,20.309061050415,19.7138729095459,24.308464050293,19.6655654907227,19.2642364501953,19.15647315979,24.2054443359375,19.7770462036133,19.7696113586426
03-Aug-2023 14:20:46,0.000307,0.000179,20.309061050415,19.7138729095459,24.187047958374,19.6767120361328,19.2530899047852,19.1601905822754,24.1686515808105,19.7844772338867,19.7844772338867
03-Aug-2023 14:20:51,0.000307,0.000179,20.3093357086182,19.7215766906738,24.1578807830811,19.6695518493652,19.2422103881836,19.1678924560547,24.1431655883789,19.7921810150146,19.7773170471191
03-Aug-2023 14:20:56,0.000305,0.000179,20.3096084594727,19.7106971740723,24.250129699707,19.6698207855225,19.1904563903809,19.1570129394531,24.1581478118896,19.7775840759277,19.7404251098633
03-Aug-2023 14:21:01,0.000305,0.000179,20.3097476959229,19.6996841430664,24.2907371520996,19.6513767242432,18.9639167785645,19.1459999084473,24.1656398773193,19.7702884674072,19.7108306884766
03-Aug-2023 14:21:06,0.000305,0.000179,20.310022354126,19.6999931335449,24.2873611450195,19.6442527770996,19.0682716369629,19.1500244140625,24.1916999816895,19.7817440032959,19.7520160675049
03-Aug-2023 14:21:11,0.000305,0.000179,20.3101596832275,19.7075386047363,24.3242702484131,19.6555137634277,19.0423755645752,19.1501388549805,24.1881370544434,19.7781448364258,19.7484169006348
03-Aug-2023 14:21:16,0.000305,0.000179,20.310432434082,19.7003765106201,24.3061389923096,19.6483535766602,18.9534606933594,19.154125213623,24.1884002685547,19.7709808349609,19.7821292877197
03-Aug-2023 14:21:21,0.000305,0.000178,20.3105716705322,19.7153949737549,24.3504447937012,19.6596546173096,19.0093555450439,19.1617126464844,24.2106304168701,19.7859992980957,19.7637042999268
03-Aug-2023 14:21:26,0.000305,0.000177,20.3108444213867,19.7193813323975,24.3249568939209,19.6599273681641,19.0653648376465,19.165699005127,24.2182579040527,19.7899856567383,19.7379608154297
03-Aug-2023 14:21:31,0.000305,0.000177,20.3109836578369,19.7195167541504,24.3103733062744,19.6563453674316,19.0246238708496,19.1584014892578,24.2036743164063,19.7864074707031,19.7566757202148
03-Aug-2023 14:21:36,0.000302,0.000177,20.31125831604,19.7198047637939,24.3106575012207,19.6603469848633,19.1995639801025,19.1586875915527,24.2076377868652,19.786693572998,19.727237701416
03-Aug-2023 14:21:41,0.000302,0.000177,20.3113956451416,19.7162437438965,24.3696804046631,19.6530723571777,19.3112010955811,19.1588439941406,24.1783561706543,19.7831325531006,19.7273921966553
03-Aug-2023 14:21:46,0.000302,0.000177,20.3115310668945,19.7200756072998,24.3366813659668,19.6717681884766,19.3484764099121,19.1552429199219,24.1968669891357,19.7795314788818,19.7460880279541
03-Aug-2023 14:21:51,0.000302,0.000177,20.3116683959961,19.7276611328125,24.4067401885986,19.6867847442627,19.1888408660889,19.1665458679199,24.2522087097168,19.7908325195313,19.7350940704346
03-Aug-2023 14:21:56,0.000302,0.000177,20.3119430541992,19.7316474914551,24.3665332794189,19.6684741973877,19.2337036132813,19.1705303192139,24.281909942627,19.783670425415,19.7911033630371
03-Aug-2023 14:22:01,0.000302,0.000177,20.3120803833008,19.7243309020996,24.3519325256348,19.6760215759277,19.2003746032715,19.1706466674805,24.3188171386719,19.7763538360596,19.7689208984375
03-Aug-2023 14:22:06,0.000302,0.000175,20.312219619751,19.7133560180664,24.3631420135498,19.6427536010742,19.0556259155273,19.1559562683105,24.2785186767578,19.765380859375,19.7467994689941
03-Aug-2023 14:22:11,0.000302,0.000175,20.3123569488525,19.7134895324707,24.3853492736816,19.6354541778564,18.9368438720703,19.1523742675781,24.2087440490723,19.7766609191895,19.6986274719238
03-Aug-2023 14:22:16,0.0003,0.000175,20.3124923706055,19.6987609863281,24.3707656860352,19.6355895996094,18.9815731048584,19.1599426269531,24.1904811859131,19.776798248291,19.6727485656738
03-Aug-2023 14:22:21,0.000299,0.000175,20.312629699707,19.7100448608398,24.3819389343262,19.639440536499,18.9965744018555,19.1563606262207,24.1869354248047,19.7769317626953,19.6654529571533
03-Aug-2023 14:22:27,0.000299,0.000175,20.312629699707,19.72119140625,24.3892974853516,19.6357250213623,18.9594135284424,19.1600761413574,24.1795768737793,19.7917976379395,19.6580200195313
03-Aug-2023 14:22:32,0.000299,0.000175,20.3129043579102,19.7103118896484,24.36012840271,19.6322784423828,18.9188060760498,19.1566295623779,24.2019195556641,19.7809181213379,19.702880859375
03-Aug-2023 14:22:37,0.000299,0.000175,20.3130416870117,19.6955852508545,24.3749809265137,19.621265411377,18.8854961395264,19.1456184387207,24.2094116210938,19.7661895751953,19.6584243774414
03-Aug-2023 14:22:42,0.000299,0.000175,20.3131809234619,19.6957206726074,24.3603973388672,19.6288318634033,18.9785308837891,19.1531829833984,24.2316207885742,19.7663230895996,19.6474113464355
03-Aug-2023 14:22:47,0.000299,0.000174,20.3133163452148,19.6958923339844,24.3568878173828,19.6252880096436,19.0493087768555,19.1496391296387,24.2722644805908,19.7590637207031,19.6178550720215
03-Aug-2023 14:22:52,0.000299,0.000174,20.3134536743164,19.6922931671143,24.3827590942383,19.6254043579102,19.0011157989502,19.1497554779053,24.1767177581787,19.7628955841064,19.6105403900146
03-Aug-2023 14:22:57,0.000298,0.000174,20.313591003418,19.6961631774902,24.3792304992676,19.6292743682861,19.0681591033936,19.1499118804932,24.180549621582,19.7630500793457,19.5438079833984
